# Id	Level	Super-class	RefName
1	1	Humanities	Humanities
1.1	2	Humanities	Human history
1.1.1	3	Human history	African history
1.1.2	3	Human history	American history
1.1.3	3	Human history	Ancient history
1.1.4	3	Human history	History of Australia|Australian History
1.1.5	3	Human history	History of Asia|Asian History
1.1.6	3	Human history	History of Europe|European History
1.1.7	3	Human history	History of China|Chinese history
1.1.8	3	Human history	Economic history of the world|Economic history
1.1.9	3	Human history	Ancient Greece|Greek history
1.1.10	3	Human history	History of Iran|Iranian history
1.1.11	3	Human history	History of India|Indian history
1.1.12	3	Human history	History of Indonesia|Indonesian history
1.1.13	3	Human history	Intellectual history
1.1.14	3	Human history	History of Latin America|Latin American History
1.1.15	3	Human history	Modern history
1.1.16	3	Human history	History of political thought|Political History
1.1.17	3	Human history	Pre-Columbian era
1.1.18	3	Human history	Ancient Rome|Roman History
1.1.19	3	Human history	History of Russia|Russian History
1.1.20	3	Human history	History of Science|Scientific History
1.1.21	3	Human history	History of Technology|Technological History
1.1.22	3	Human history	World history
1.2	2	Humanities	Linguistics
1.2.1	3	Linguistics	Languages
1.2.1.1	4	Languages	Business English
1.2.1.2	4	Languages	Classical language
1.2.1.3	4	Languages	Modern language
1.2.1.4	4	Languages	Standard English
1.2.1.5	4	Languages	New Englishes|World Englishes
1.2.2	3	Linguistics	Applied Linguistics
1.2.3	3	Linguistics	Computational linguistics
1.2.4	3	Linguistics	Discourse analysis
1.2.5	3	Linguistics	Etymology
1.2.6	3	Linguistics	Historical linguistics
1.2.7	3	Linguistics	History of linguistics
1.2.8	3	Linguistics	Interlinguistics
1.2.9	3	Linguistics	Morphology (linguistics)|Morphology
1.2.10	3	Linguistics	Philology
1.2.11	3	Linguistics	Phonetics
1.2.12	3	Linguistics	Phonology
1.2.13	3	Linguistics	Pragmatics
1.2.14	3	Linguistics	Semantics
1.2.15	3	Linguistics	Semiotics
1.2.16	3	Linguistics	Sociolinguistics
1.2.17	3	Linguistics	Syntax
1.2.18	3	Linguistics	Composition studies
1.2.19	3	Linguistics	Rhetoric#Modern rhetoric|Rhetoric
1.3	2	Humanities	Literature
1.3.1	3	Literature	Poetry
1.3.2	3	Literature	Comparative literature
1.3.3	3	Literature	English literature
1.3.4	3	Literature	World literature
1.3.4.1	4	World literature	American literature
1.3.4.2	4	World literature	British literature
1.3.5	3	Literature	Historical
1.3.5.1	4	Historical	Medieval literature
1.3.5.2	4	Historical	Post-colonial literature
1.3.5.3	4	Historical	Post-modern literature
1.3.6	3	Literature	Literary theory
1.3.6.1	4	Literary theory	Critical theory
1.3.6.2	4	Literary theory	Literary criticism
1.3.6.3	4	Literary theory	Poetics
1.3.6.4	4	Literary theory	Rhetoric
1.3.7	3	Literature	Creative writing
1.3.7.1	4	Creative writing	Creative nonfiction
1.3.7.2	4	Creative writing	Fiction
1.3.7.3	4	Creative writing	Non-fiction
1.3.7.4	4	Creative writing	Literary journalism
1.3.7.5	4	Creative writing	Poetry
1.3.7.6	4	Creative writing	Screenwriting
1.3.7.7	4	Creative writing	Playwrighting
1.4	2	Humanities	Arts
1.4.1	3	Arts	Arts administration
1.4.2	3	Arts	Music
1.4.2.1	4	Music	Accompaniment|Accompanying
1.4.2.2	4	Music	Chamber music
1.4.2.3	4	Music	Church music
1.4.2.4	4	Music	Musical composition
1.4.2.5	4	Music	Conducting
1.4.2.5.1	5	Conducting	Choir|Choral conducting
1.4.2.5.2	5	Conducting	Orchestra|Orchestral conducting
1.4.2.5.3	5	Conducting	Concert band|Wind ensemble conducting
1.4.2.6	4	Music	Early music
1.4.2.7	4	Music	Jazz|Jazz studies
1.4.2.8	4	Music	Music education
1.4.2.9	4	Music	Music history
1.4.2.10	4	Music	Music theory
1.4.2.11	4	Music	Musicology
1.4.2.11.1	5	Musicology	Music history|Historical musicology
1.4.2.11.2	5	Musicology	Systematic musicology
1.4.2.11.3	5	Musicology	Ethnomusicology
1.4.2.12	4	Music	Performance
1.4.2.12.1	5	Performance	Organ (music)|Organ
1.4.2.12.2	5	Performance	Piano
1.4.2.12.3	5	Performance	String instrument|Strings
1.4.2.12.4	5	Performance	Singing
1.4.2.12.5	5	Performance	Woodwind instrument|Woodwinds
1.4.2.13	4	Music	Recording
1.4.2.14	4	Music	Orchestra|Orchestral studies
1.4.3	3	Arts	Dance
1.4.3.1	4	Dance	Choreography
1.4.3.2	4	Dance	Dance notation
1.4.3.3	4	Dance	Ethnochoreology
1.4.3.4	4	Dance	History of dance
1.4.4	3	Arts	Theatre
1.4.4.1	4	Theatre	History of theater|History
1.4.4.2	4	Theatre	Acting
1.4.4.3	4	Theatre	Theatre director|Directing
1.4.4.4	4	Theatre	Scenic design|Stage design
1.4.4.5	4	Theatre	Dramaturgy
1.4.4.6	4	Theatre	Playwrighting
1.4.4.7	4	Theatre	Scenography
1.4.4.8	4	Theatre	Musical theatre
1.4.5	3	Arts	Film studies|Film
1.4.5.1	4	Film studies|Film	Animation
1.4.5.2	4	Film studies|Film	Live-action
1.4.5.3	4	Film studies|Film	Filmmaking
1.4.5.4	4	Film studies|Film	Film criticism
1.4.5.5	4	Film studies|Film	Film theory
1.4.6	3	Arts	Oral literature
1.4.6.1	4	Oral literature	Public speaking
1.4.6.2	4	Oral literature	Performance poetry
1.4.6.3	4	Oral literature	Storytelling
1.4.7	3	Arts	Animation
1.4.8	3	Arts	Architecture
1.4.9	3	Arts	Design
1.4.9.1	4	Design	Video game design
1.4.9.2	4	Design	Product design
1.4.9.3	4	Design	Software design
1.4.9.4	4	Design	Web design
1.4.10	3	Arts	Drawing
1.4.11	3	Arts	Painting
1.4.12	3	Arts	Filmmaking
1.4.13	3	Arts	Photography
1.4.14	3	Arts	Sculpture
1.4.15	3	Arts	Industrial design
1.4.16	3	Arts	Graphic design
1.4.17	3	Arts	Fashion Design|Fashion design
1.4.18	3	Arts	Interior design
1.4.19	3	Arts	Decorative arts
1.4.20	3	Arts	Culinary art
1.4.21	3	Arts	Fine arts
1.4.22	3	Arts	Mixed Media
1.4.23	3	Arts	Creative arts
1.4.24	3	Arts	Art history
1.4.25	3	Arts	Calligraphy
1.4.26	3	Arts	Printmaking
1.4.27	3	Arts	Studio art
1.5	2	Humanities	Philosophy
1.5.1	3	Philosophy	Meta-philosophy
1.5.2	3	Philosophy	Metaphysics
1.5.2.1	4	Metaphysics	Ontology
1.5.2.2	4	Metaphysics	Teleology
1.5.2.3	4	Metaphysics	Philosophy of mind
1.5.2.3.1	5	Philosophy of mind	Philosophy of artificial intelligence
1.5.2.3.2	5	Philosophy of mind	Philosophy of perception
1.5.2.3.3	5	Philosophy of mind	Pain (philosophy)|Philosophy of pain
1.5.2.4	4	Metaphysics	Philosophy of space and time
1.5.2.5	4	Metaphysics	Action (philosophy)|Philosophy of Action
1.5.2.6	4	Metaphysics	Theism
1.5.2.7	4	Metaphysics	Determinism
1.5.3	3	Philosophy	Epistemology
1.5.3.1	4	Epistemology	Theory of justification|Justification
1.5.3.2	4	Epistemology	List of fallacies#Informal fallacies|Reasoning errors
1.5.4	3	Philosophy	Ethics
1.5.4.1	4	Ethics	Meta-ethics
1.5.4.2	4	Ethics	Normative ethics
1.5.4.3	4	Ethics	Applied ethics
1.5.4.3.1	5	Applied ethics	Animal rights
1.5.4.3.2	5	Applied ethics	Bioethics
1.5.4.3.3	5	Applied ethics	Environmental ethics
1.5.4.4	4	Ethics	Moral psychology
1.5.5	3	Philosophy	Aesthetics
1.5.6	3	Philosophy	Social philosophy
1.5.6.1	4	Social philosophy	Feminist philosophy
1.5.6.2	4	Social philosophy	Anarchism
